imdb_id,bechdel_rating,bechdel_dubious,bechdel_pass,movie_title,title_year,genres,imdb_score,director_name,gross,content_rating,budget,actor_1_name,plot_keywords
1080016,1.0,0.0,False,Ice Age: Dawn of the Dinosaurs,2009,Action|Adventure|Animation|Comedy|Family,7.0,Carlos Saldanha,196573705.0,PG,90000000.0,Denis Leary,egg|lost world|rescue|squirrel|weasel
1136608,1.0,0.0,False,District 9,2009,Action|Sci-Fi|Thriller,8.0,Neill Blomkamp,115646235.0,R,30000000.0,Sharlto Copley,alien|ghetto|prawn|refugee|refugee camp
1055369,3.0,0.0,True,Transformers: Revenge of the Fallen,2009,Action|Adventure|Sci-Fi,6.0,Michael Bay,402076689.0,PG-13,200000000.0,Glenn Morshower,autobot|decepticon|machine|sun|symbol
1178663,3.0,1.0,True,Whatever Works,2009,Comedy|Romance,7.2,Woody Allen,5306447.0,PG-13,15000000.0,Larry David,atheist|limp|quantum mechanics|religion|runaway
1135487,2.0,0.0,False,Duplicity,2009,Comedy|Crime|Romance|Thriller,6.2,Tony Gilroy,40559930.0,PG-13,60000000.0,Julia Roberts,ceo|dubai|product|rivalry|spy
1155056,2.0,0.0,False,"I Love You, Man",2009,Comedy|Romance,7.1,John Hamburg,71347010.0,R,40000000.0,J.K. Simmons,bromance|friend|gay brother|homosexual subtext|wedding
1172233,3.0,0.0,True,Whip It,2009,Drama|Sport,6.9,Drew Barrymore,13034417.0,PG-13,15000000.0,Daniel Stern,beauty pageant|friend|pageant|roller derby|texas
1156398,3.0,0.0,True,Zombieland,2009,Adventure|Comedy|Horror|Sci-Fi,7.7,Ruben Fleischer,75590286.0,R,23600000.0,Emma Stone,amusement park|on the road|zombie|zombie apocalypse|zombie spoof
1182345,1.0,1.0,False,Moon,2009,Drama|Mystery|Sci-Fi,7.9,Duncan Jones,5009677.0,R,5000000.0,Kevin Spacey,computer|contract|earth|moon|solitude
1234548,0.0,0.0,False,The Men Who Stare at Goats,2009,Comedy|War,6.2,Grant Heslov,32416109.0,R,25000000.0,Kevin Spacey,first person narration|general|hampster|reference to loch ness monster|reporter
1058017,2.0,0.0,False,The Invention of Lying,2009,Comedy|Fantasy|Romance,6.4,Ricky Gervais,18439082.0,PG-13,18500000.0,Jennifer Garner,genetics|heaven|lie|screenwriter|truth
1186367,1.0,0.0,False,Ninja Assassin,2009,Action|Crime|Thriller,6.4,James McTeigue,38105077.0,R,40000000.0,Shô Kosugi,critically bashed|kung fu|martial artist|martial arts|ninja
1193138,2.0,0.0,False,Up in the Air,2009,Drama|Romance,7.4,Jason Reitman,83813460.0,R,25000000.0,J.K. Simmons,airport|business trip|downsizing|on the road|travel
1172994,3.0,0.0,True,The House of the Devil,2009,Horror,6.4,Ti West,100659.0,R,900000.0,Lena Dunham,cult film|eclipse|haunted house|lunar eclipse|secret
1131734,3.0,0.0,True,Jennifer's Body,2009,Comedy|Fantasy|Horror,5.1,Karyn Kusama,16204793.0,R,16000000.0,J.K. Simmons,cannibalism|cheerleader|condom|hook for hand|satanic ritual
1127180,3.0,0.0,True,Drag Me to Hell,2009,Horror|Thriller,6.6,Sam Raimi,42057340.0,PG-13,30000000.0,Bojana Novakovic,evil|fight|hell|psychic|psychologist
1186830,1.0,0.0,False,Agora,2009,Adventure|Drama|History|Romance,7.2,Alejandro Amenábar,617840.0,R,70000000.0,Max Minghella,christian|love|philosophy|prefect|slave
1054606,1.0,0.0,False,The Imaginarium of Doctor Parnassus,2009,Adventure|Fantasy|Mystery,6.8,Terry Gilliam,7689458.0,PG-13,40000000.0,Andrew Garfield,birthday|bridge|midget|rescue|sideshow
